gift_id,donor_id,first_name,last_name,email,phone,constituent_type,class_year,capacity_tier,city,state,gift_date,gift_amount,fund_designation
G200072,CA100969,Stephanie,Jimenez,stephanie.jimenez822@hotmail.com,001-412-279-9702x9271,Faculty/Staff,,Medium,Johnmouth,WV,2025-12-11,283.64,Scholarship Fund
G200073,CA100159,  Sean ,Smith,sean.smith675@yahoo.com,362-771-3611,Alumni,2011,Medium,Nicoleberg,MS,2024-04-30,412.2,Annual Fund
G200074,CA101584,Thomas,Fowler,thomas.fowler302@gmail.com,822-284-8349x276,Parent,,Low,Ryanton,CO,2025-06-04,74.68,Annual Fund
G200075,CA100340,Sean,Mosley,sean.mosley561@gmail.com,+1-800-864-2569x0877,Faculty/Staff,,Low,New Jeremiahfurt,UT,2025-03-30,279.27,Athletics
G200076,CA100891,John,Williams,john.williams282@yahoo.com,(473)585-7368x011,Alumni,2016,Medium,Delacruzborough,NH,09-Feb-2025,488.07,Athletics
G200077,CA101146,Andrew,Smith,andrew.smith56@hotmail.com,547.648.5994x641,Alumni,1994,Principal,South Stevenport,MP,"July 22, 2022",18440.42,Athletics
G200078,CA100635,Troy,Keith,troy.keith144@gmail.com,(370)421-6487,Alumni,2020,Low,Port Ryanburgh,CA,2024-01-11,184.44,Athletics
G200079,CA101424,Donald,Robinson,donald.robinson947@gmail.com,943.476.9929x64447,Friend,,Low,Leahtown,ND,2025-09-14,114.59,Endowment
G200080,CA101294,Charles,Chavez,charles.chavez616@hotmail.com,001-462-535-6999,Alumni,1975,Low,West Karen,WA,2026-02-16,85.86,Annual Fund
G200081,CA101460,Ann,Holland,ann.holland157@yahoo.com,915-502-5285x46130,Alumni,2019,Low,New Sabrinafort,DC,2023-03-27,29.15,Annual Fund
G200082,CA100127,Dennis,Sanchez,dennis.sanchez235@gmail.com,517-551-8304x69901,Faculty/Staff,,Low,Clarkmouth,ME,2023-08-02,29.33,
G200083,CA101737,Heather,Wright,heather.wright363@gmail.com,,Alumni,1996,Low,Nathanmouth,AS,2026-03-22,121.59,Endowment
G200084,CA101689,Lindsey,Johnson,lindsey.johnson804_at_gmail.com,570.517.7375x949,Alumni,1986,Low,South Allisonville,FM,2023-06-19,117.09,Athletics
G200085,CA100838,Stephen,Martin,stephen.martin537@gmail.com,841.903.4699,Alumni,2002,Medium,East Craig,CO,2022-07-07,106.74,Unrestricted
G200086,CA101163,Thomas,Smith,thomas.smith731@hotmail.com,(925)215-2174x65353,Faculty/Staff,,Medium,New Anneville,MI,2024-04-11,682.88,Annual Fund
G200087,CA100445,Natalie,Clark,natalie.clark61@hotmail.com,254-974-3553x79502,Alumni,2014,Medium,North Emilychester,OH,2023-11-18,524.85,Endowment
G200088,CA100391,Zachary,Powers,zachary.powers307@hotmail.com,(808)229-7374,Alumni,1989,Principal,West Steven,IA,2024-08-15,132791.37,Scholarship Fund
G200089,CA100847,Garrett,Hodge,garrett.hodge809@gmail.com,8318954196,Organization,,Low,Nathanielmouth,NM,"June 28, 2023",67.39,Athletics
G200090,CA101003,Wayne,Berry,wayne.berry8@gmail.com,986-488-3906x246,Alumni,1985,Medium,Guzmanland,NE,06-Jun-2025,319.17,Endowment
G200091,CA101709,Timothy,Robinson,timothy.robinson4@yahoo.com,403.786.2567x611,Alumni,1995,Low,Jessicaburgh,IL,2026-06-08,98.16,Endowment
G200092,CA100424,Eric,Clayton,eric.clayton46@hotmail.com,5159619318,Parent,,High,Victoriastad,WI,17-May-2025,3794.41,Athletics
G200093,CA100236,Adam,Sanchez,adam.sanchez856@gmail.com,001-364-452-5777x547,Parent,,Low,Port Juanberg,MH,2025-02-11,93.65,Athletics
G200094,CA100069,Jeremy,Patterson,jeremy.patterson524@hotmail.com,001-499-480-9402x44550,Alumni,2006,Low,Jonestown,CO,2022-07-17,75.93,Capital Campaign
G200095,CA100205,Patricia,Hatfield,patricia.hatfield774@gmail.com,421-975-2500x74329,Friend,,Low,East Christinachester,MO,2025-07-24,59.26,Annual Fund
G200096,CA101215,Brian,Barber,brian.barber889@hotmail.com,001-668-421-2156x49525,Alumni,1980,Low,South Donnaview,AS,2023-11-11,101.02,Athletics
G200097,CA100821,Megan,Perez,megan.perez956@yahoo.com,001-811-222-2990x775,Parent,,High,Cynthiaville,MT,01/03/2024,7913.83,Capital Campaign
G200098,CA100340,Sean,Mosley,sean.mosley561@gmail.com,+1-800-864-2569x0877,Faculty/Staff,,Low,New Jeremiahfurt,UT,10/19/2022,115.39,Athletics
G200099,CA100708,Jason,Shaw,jason.shaw151_at_yahoo.com,001-487-414-9392x52362,Faculty/Staff,,High,Suefort,SD,"April 29, 2023",-2809.04,Scholarship Fund
G200100,CA100483,Jason,Robinson,jason.robinson800@hotmail.com,495-601-3649x718,Faculty/Staff,,Low,New Markfurt,TX,"May 12, 2023",155.19,
G200101,CA100204,Michelle,Silva,michelle.silva454@hotmail.com,273-481-6846,Alumni,2020,High,East Matthew,OK,2025-02-22,2665.24,Capital Campaign
G200102,CA100196,Jenna,Powell,jenna.powell107@hotmail.com,001-202-733-0307,Alumni,2011,Medium,West Micheal,NH,2024-09-26,340.44,Athletics
G200103,CA100869,Jeffrey,Underwood,jeffrey.underwood632@gmail.com,(206)901-4886x0849,Parent,,Low,New Donna,LA,2026-04-02,107.61,Unrestricted
G200104,CA100364,Logan,Cooper,logan.cooper95@yahoo.com,482.284.1067x275,Alumni,1981,Principal,Deborahport,NJ,2022-07-04,65035.06,Capital Campaign
G200105,CA100282,William,Sandoval,william.sandoval602@hotmail.com,+1-575-858-5566x593,Friend,,Low,Michaelmouth,NV,"January 07, 2023",90.01,Endowment
G200106,CA100637,Shannon,Davenport,shannon.davenport111@yahoo.com,001-772-929-8120x99576,Alumni,1991,Low,New Jennifer,KY,2024-11-10,52.29,Capital Campaign
G200107,CA100952,  Ann ,Myers,ann.myers352@yahoo.com,7789468509,Friend,,High,Mallorybury,AL,03/05/2026,5231.96,Annual Fund
G200108,CA101038,Michelle,Braun,michelle.braun690@hotmail.com,,Alumni,2006,Low,New Cheryl,FM,03-Apr-2026,75.0,Annual Fund
G200109,CA101298,Manuel,Santana,manuel.santana8@hotmail.com,220.799.8656x4224,Friend,,High,North April,IN,2026-06-28,7978.26,Unrestricted
G200110,CA100366,Danielle,Silva,danielle.silva742@gmail.com,001-243-701-8718x63759,Faculty/Staff,,Medium,Hernandezchester,MN,"May 21, 2024",279.01,Endowment
G200111,CA101664,Matthew,Ross,matthew.ross352@hotmail.com,+1-426-972-8007,Organization,,Medium,Port Aaron,SC,2025-02-06,1014.75,Annual Fund
G200112,CA100102,Mitchell,Hoffman,mitchell.hoffman851@yahoo.com,671.847.3210,Alumni,2012,Low,Wrightburgh,GU,22-May-2024,260.97,Annual Fund
G200113,CA100730,Bryan,Diaz,bryan.diaz270@hotmail.com,6824137118,Parent,,Low,Kurtchester,OH,2022-09-11,79.15,Athletics
G200114,CA100811,Devin,Middleton,devin.middleton45@hotmail.com,478.520.5829x582,Friend,,Medium,Millerchester,FM,07/28/2026,304.15,Capital Campaign
G200115,CA100938,Shannon,Fleming,shannon.fleming868@gmail.com,(378)912-7782x2102,Parent,,Medium,North Courtney,KS,2026-08-09,521.84,Unrestricted
G200116,CA100763,Taylor,Rodriguez,,9624113695,Alumni,2002,Principal,Harperton,TN,2025-05-15,186837.09,Annual Fund
G200117,CA100618,Cathy,Gray,cathy.gray605@hotmail.com,001-908-370-6626x6821,Friend,,High,Michaelmouth,NE,2023-12-09,2710.36,Endowment
G200118,CA100887,Brian,Ellis,brian.ellis306@yahoo.com,261.942.4426,Alumni,1997,Low,New Shawnport,SD,22-May-2026,111.62,Athletics
G200119,CA100894,Diane,Dominguez,diane.dominguez539@gmail.com,736.751.1893x9406,Organization,,Low,Hawkinsburgh,AK,"April 23, 2025",48.38,Unrestricted
G200120,CA100583,Christopher,Miranda,christopher.miranda654@hotmail.com,558-233-1170,Friend,,Low,South Lori,ID,2024-10-26,64.79,Athletics
G200121,CA101300,Thomas,Diaz,thomas.diaz180_at_hotmail.com,7799661869,Parent,,Medium,Port Kathy,PW,2024-04-25,317.23,Unrestricted
G200122,CA101693,Kevin,Patterson,kevin.patterson288@gmail.com,487-923-8586x539,Alumni,2001,Low,Tranland,KS,2025-07-13,84.92,
G200123,CA100709,Caitlin,Butler,caitlin.butler614@hotmail.com,634-874-5245x557,Parent,,Low,Farmertown,WV,2025-04-17,124.74,Endowment
G200124,CA100825,Alan,Beard,alan.beard228@gmail.com,337-433-7773x12688,Parent,,Medium,Port William,VI,2025-06-19,444.26,Athletics
G200125,CA100957,Lisa,Pacheco,lisa.pacheco259@yahoo.com,,Parent,,Medium,Brownmouth,VI,2022-08-17,237.68,Athletics
G200126,CA100480,Scott,Thompson,scott.thompson57@hotmail.com,9832708164,Parent,,Medium,North Kelseyborough,IA,03/10/2023,305.63,Scholarship Fund
G200127,CA100592,Stephen,Carey,stephen.carey341@yahoo.com,,Parent,,Low,Patriciafort,DE,2026-08-13,64.86,Unrestricted
G200128,CA100856,Lisa,Hamilton,lisa.hamilton894@yahoo.com,584-976-0944x12833,Alumni,2003,Medium,North Heidi,NY,2026-01-11,714.52,Endowment
G200129,CA100650,Michelle,Jones,michelle.jones55@hotmail.com,001-760-808-9219x6394,Organization,,Low,West Joshuaborough,CT,2024-10-05,90.4,Capital Campaign
G200130,CA100321,Kristen,Graham,kristen.graham424@yahoo.com,+1-932-719-7199,Faculty/Staff,,Low,Port Seanport,MO,2025-06-25,140.07,Capital Campaign
G200131,CA100201,Edward,Cannon,edward.cannon411_at_gmail.com,,Alumni,1986,High,Guerreroberg,VA,2024-10-18,1990.61,Annual Fund
G200132,CA101269,Joshua,Patterson,joshua.patterson584@gmail.com,,Alumni,2001,Medium,Murphymouth,CT,2024-10-15,404.95,Athletics
G200133,CA101281,Linda,Ford,linda.ford86@yahoo.com,001-508-564-9426x9420,Parent,,Low,Lake Kelliemouth,ME,2026-08-30,87.66,Endowment
G200134,CA100395,Daniel,Navarro,,898.547.1391x55963,Alumni,2000,Low,North Gregory,KY,2023-11-03,128.81,Endowment
G200135,CA100600,Susan,Fisher,,+1-843-498-5298x940,Alumni,1979,Principal,Santiagomouth,AS,2024-12-25,44220.05,Scholarship Fund
G200136,CA100227,Joseph,Martin,joseph.martin625@yahoo.com,6579202590,Alumni,1972,Principal,Charlesmouth,NC,2026-09-11,10303.51,Endowment
G200137,CA100962,Stacy,Day,stacy.day451@gmail.com,001-302-458-2543x1832,Organization,,Medium,Port Bryan,ID,2023-03-05,359.48,Unrestricted
G200138,CA100048,Stacey,Holland,stacey.holland928@gmail.com,448.346.7737x8263,Organization,,Medium,Kendrachester,MA,2024-09-23,279.39,Endowment
G200139,CA101467,Michael,Armstrong,michael.armstrong767@gmail.com,+1-747-959-7833x54883,Alumni,2016,Low,New Jacobport,OK,2023-03-12,241.98,Athletics
G200140,CA101621,Vicki,Hughes,vicki.hughes205@yahoo.com,327-307-9959x4761,Alumni,1981,High,South Stephanieshire,NJ,"May 26, 2024",1701.09,Scholarship Fund
G200141,CA100198,Melissa,Chan,melissa.chan232@gmail.com,433.446.8007,Friend,,Low,East Johnnyport,VT,2026-06-22,55.92,Scholarship Fund
G200142,CA101411,Jennifer,Brown,jennifer.brown157@hotmail.com,698.599.4885x669,Friend,,Low,North Mikeshire,SC,"September 06, 2025",72.01,Annual Fund
G200143,CA100590,Tracy,Wright,tracy.wright141@gmail.com,3093438822,Alumni,2020,Low,Lindamouth,NV,2026-07-06,108.9,Endowment
G200144,CA101378,Nicole,Taylor,nicole.taylor877@yahoo.com,3187637263,Faculty/Staff,,Low,Englishmouth,MI,"April 27, 2023",45.31,Capital Campaign
G200145,CA101742,Aaron,Rogers,aaron.rogers494@gmail.com,912.626.0082x2837,Alumni,2018,Medium,South Kimberly,MD,2023-12-14,263.54,Unrestricted
G200146,CA100831,Keith,Palmer,keith.palmer427@yahoo.com,539-435-4358x64496,Alumni,2009,Principal,Jamesstad,VT,2026-02-08,26475.58,Unrestricted
G200147,CA101772,Kaitlyn,Gardner,kaitlyn.gardner802@gmail.com,,Alumni,2019,Principal,Duffymouth,HI,2024-08-16,97000.72,Annual Fund
G200148,CA100459,Michael,Jones,michael.jones926@gmail.com,+1-212-547-3950,Alumni,2013,Medium,West Grant,FM,2023-03-02,160.72,Athletics
G200149,CA101307,Cassidy,Jones,cassidy.jones26@yahoo.com,505.358.1157x44965,Faculty/Staff,,Medium,Williamsfort,GU,2026-03-22,416.62,Endowment
G200150,CA100137,Christian,Mcgee,christian.mcgee473@yahoo.com,8167315999,Alumni,1971,Medium,Lake Joshuamouth,NM,10/23/2022,872.86,Unrestricted
G200151,CA101514,Linda,Butler,linda.butler528@gmail.com,+1-542-815-2483x19686,Alumni,1981,Low,Timothyview,MS,"June 29, 2023",133.94,Unrestricted
G200152,CA101521,Michael,Meyers,michael.meyers405@hotmail.com,001-561-269-4963x78811,Parent,,Low,Morenoburgh,UT,2025-10-12,91.89,Capital Campaign
G200153,CA101600,Larry,Frazier,larry.frazier775@yahoo.com,001-721-559-3896x763,Faculty/Staff,,Medium,Tuckerbury,MN,2025-03-01,173.75,Unrestricted
G200154,CA100614,Christian,Patton,christian.patton900@yahoo.com,517-630-9850,Faculty/Staff,,High,Peterstad,CA,14-Feb-2023,3637.45,Capital Campaign
G200155,CA101650,John,Mclaughlin,john.mclaughlin955@yahoo.com,940-742-3169x79206,Friend,,Medium,Sophiabury,RI,2023-11-28,712.05,Unrestricted
G200156,CA100673,Deborah,Garcia,,927-582-0797x9966,Alumni,2016,Medium,Jennifermouth,NJ,05-Mar-2024,409.71,Unrestricted
G200157,CA101149,Pam,Johnson,pam.johnson216@yahoo.com,(270)466-4890,Alumni,1989,Medium,Amandaview,MI,2023-07-09,406.84,Athletics
G200158,CA101015,Sarah,Merritt,sarah.merritt385@yahoo.com,,Friend,,Medium,Taylorchester,WY,"December 24, 2024",364.81,Endowment
G200159,CA101594,Stephanie,Schneider,stephanie.schneider997@yahoo.com,734.794.3148x722,Parent,,Medium,Haydenmouth,MO,2024-03-17,238.82,Unrestricted
G200160,CA101248,Susan,Richard,susan.richard460@hotmail.com,6226154390,Faculty/Staff,,Low,New Jeffreyburgh,MI,2023-07-29,42.21,Scholarship Fund
G200161,CA100321,Kristen,Graham,kristen.graham424@yahoo.com,+1-932-719-7199,Faculty/Staff,,Low,Port Seanport,MO,2025-11-01,66.07,Endowment
G200162,CA100966,Scott,Martinez,scott.martinez950@yahoo.com,(417)233-7399,Alumni,,Low,Hunterberg,OK,2026-09-04,76.73,Athletics
G200163,CA100854,Jason,Ritter,jason.ritter264@gmail.com,,Alumni,2012,Medium,West Jessicaland,IN,2023-04-13,186.01,
G200164,CA100427,Christopher,Watson,christopher.watson656@yahoo.com,(732)286-3266x678,Alumni,2008,Low,Thomastown,VT,2022-08-18,108.51,Capital Campaign
G200165,CA100408,Scott,Zhang,scott.zhang971@hotmail.com,677.512.1513x4228,Alumni,2016,Low,New Katieburgh,MT,2024-01-13,175.42,Scholarship Fund
G200166,CA101477,Alicia,Ortega,alicia.ortega731@yahoo.com,4168276292,Friend,,High,Grahamhaven,MP,12-Mar-2026,30558.24,Endowment
G200167,CA101242,Andrea,Davis,andrea.davis640@yahoo.com,(364)971-0680,Alumni,1998,Low,Stephensontown,PW,01-Jun-2024,97.37,Athletics
G200168,CA100966,Scott,Martinez,scott.martinez950@yahoo.com,(417)233-7399,Alumni,,Low,Hunterberg,OK,07-May-2023,46.08,Unrestricted
G200169,CA100180,Benjamin,BROWN,benjamin.brown793@hotmail.com,708.470.5932,Alumni,1990,High,Brianberg,OR,2026-03-15,2669.64,Unrestricted
G200170,CA100287,Warren,Ayala,warren.ayala578_at_gmail.com,001-327-683-7693x89833,Alumni,2000,High,Morrisshire,CO,2026-06-26,4232.72,Athletics
G200171,CA100439,Janice,Clay,janice.clay469@yahoo.com,789-856-9070,Alumni,2003,High,South Andrew,NC,2024-05-13,1460.57,Endowment
G200172,CA100047,Cindy,Jimenez,cindy.jimenez352@yahoo.com,001-603-248-2477x10932,Alumni,2012,Medium,Davisville,NH,2025-03-23,143.31,Unrestricted
G200173,CA100764,Sarah,Wang,sarah.wang665@gmail.com,001-835-809-0254x25730,Alumni,2014,Medium,West William,IN,2025-04-28,166.53,Athletics
